X,Y
"При облучении объекта радиолокатором энергия, достигающая объекта, частично поглощается и отражается от совокупности объект-устройство с радиоголограммой таким образом, что за счет новых дифракционных свойств системы объект-радиоголограмма она перераспределяется в пространстве в направлениях, отличных от запросного со стороны радиолокатора.",Радиосигнал; Переизлученное радиолокационное излучение;
"Таким образом, выбранный объем может считываться или восстанавливаться посредством столкновения падающего светового луча, имеющего передаваемую энергию ниже пороговой, и записываться или стираться с использованием светового луча, имеющего передаваемую энергию выше пороговой.",Световая энергия;
"В одном из вариантов осуществления, изменение показателя преломления происходит в результате разности плотности между аморфным и кристаллическим состоянием термопластического носителя.",Изменение показателя преломления; Термопластический носитель в аморфном состоянии; Термопластический носитель в кристаллическом состоянии;
"Основными элементами для осуществления данного эффекта являются вариоизображения (шаблоны) и оптические элементы - лентикулярные линзы, которые разлагают изображение по углам, и пользователь, смотря через них, видит различный вариоизображения, меняющиеся в зависимости от угла просмотра.",Линзовый растр;
"Использование данного эффекта позволяет получить в жидкости, помещенной в сосуд, различные высококачественные эффектные изображения.",Жидкость; Вода; Сосуд;
"Заключается в прикладывании последовательности импульсов к образцу; последовательность импульсов включает в себя, по меньшей мере, 3 рабочих цикла в пределах 180 секунд.",Электрические импульсы; Образец;
"Определяемая концентрация анализируемого вещества может иметь меньшую систематическую погрешность, обусловленную медиаторным фоном, чем такой же или другой способ, испытывающий недостаток в последовательности импульсов, включающей в себя, по меньшей мере, 3 рабочих цикла в пределах 180 секунд.",Изменение скорости окисления анализируемого вещества; Изменение скорости восстановления анализируемого вещества; Электрические импульсы;
"Входами сети являются значения: x1 - начальной влажности материала, x2, x3 - температуры и влажности окружающей среды; x4 - скорости движения пластинчатого конвейера; x5 - наличия или отсутствия ворошителя; x6 - процента времени работы вытяжного вентилятора; x7, x8 - средневзвешенных температуры и влажности сушильного агента в n-й камере; x9, x 10 - процента открытия воздухозаборного окна и сбросного шибера.",Количество теплоты; Температура; Влажность; Пастообразный материал;
Из-за паразитной дисперсии фокусные расстояния не совпадают для лучей света с разными длинами волн (лучей разных цветов).,Лучи света с различными длинами волн; Исходящий от объекта световой пучок;
"Энергия излучения, поступающая от объекта и фона, будет равномерно попадать на всю фоточувствительную область фотоприемной матрицы, приводя тем самым к полной компенсации неоднородности постоянной составляющей сигнала.",Энергия излучения; Фотопроводник; Фотопроводящий материал; Изменение сигнала фоточувствительных элементов;
"Когда падающий свет попадает на полупроводниковый переход такого элемента, этот свет приводит к появлению фотоэлектрического эффекта, при котором возникают электрические заряды.",Свет или любое другое электромагнитное излучение; Электрический заряд; Испускание электронов; Фотопроводящий материал; Фотопроводник;
"Используя пассивирующие пленки, можно уменьшить количество света, которое обычно может поступать фотоэлектрический элемент, что позволяет уменьшить смешивание цветов и шум.",Свет; Поглощение света; Пассивирующие пленки с высоким показателем преломления;
"Генератор магнитного поля на основе структур Хальбаха дает возможность плавной регулировки величины генерируемого магнитного поля с сохранением высокой однородности магнитного поля для получения компактного, с минимальным потреблением электроэнергии генератора для генерации регулируемого магнитного поля.",Структура Хальбаха состоящая из постоянных магнитов;
"Путем вращения по меньшей мере одного из указанных постоянных магнитов напряженность магнитного поля в рабочем отверстии можно изменять в диапазоне от -Нmax до +Hmax , где Hmax - максимальная напряженность магнитного поля, создаваемая указанным регулируемым генератором.",Напряженность магнитного поля; Интенсивность намагничивания;
"Определение концентрации вещества по интенсивности флуоресценции, возникающей при облучении вещества ультрафиолетовыми лучами.",Интенсивность флуоресценции; Длительность флуоресценции;
"Суть эффекта - формирование соплом сфокусированной аэрозольной струи заданного диаметра, а затем - определение анализируемого объема струи пересечением ортогональных струе пучков пусковых лазеров.",Сфокусированная аэрозольная струя заданного диаметра; Объем струи; Аэрозольный поток;
"Физический процесс, разновидность люминесценции (люминесценция - нетепловое свечение вещества, происходящее после поглощения им энергии возбуждения).",Изменение свечения вещества;
"Упругое рассеяние (Рэлеевское рассеяние) света - когерентное рассеяние света без изменения длины волны (называемое также упругим рассеянием) на частицах, неоднородностях или других объектах, когда частота рассеиваемого света существенно меньше собственной частоты рассеивающего объекта или системы, т.е. рассеяние света на объектах, размеры которых меньше его длины волны.",Свет; Длина волны; Сферические частицы;
"Объекты, представляемые в виде маленьких диэлектрических сфер, взаимодействуют с электрическим полем, созданным световой волной, за счёт индуцированного на сфере дипольного момента.",Мелкие объекты в виде диэлектрических сфер; Изменяется скорость движения объекта;
Оптические ловушки используются для борьбы с фоновыми оптическими шумами от возможной паразитной засветки возбуждающим излучением элементов системы.,Лазерное излучение;
В многоэлементных оптических системах наряду со вторичным излучением имеет место отраженное элементами излучение.,ЭЛМ излучение; Рост оптического шума; Рост шума оптического излучения;
"Измеряемое терагерцовое излучение из источника терагерцового излучения вместе с оптическим излучением накачки направляется на нелинейно-оптический кристалл, в котором происходит эффект параметрического смешения частот падающих волн.",Герагерцовое излучение; Импульсное лазерное излучение; Смешение частот;
"Направления распространения сигнальных волн, их поляризации и параметры нелинейного кристалла, необходимые для эффективного смешения частот, определяются из условий фазового синхронизма в пространственно-однородных кристаллах и квазисинхронизма в периодически поляризованных кристаллах.",Нелинейно-оптический кристалл; Смешение частот;
"В настоящем изобретении представлен также блок оптической селекции сигнального излучения для частотной, пространственной и поляризационной селекции сигнального излучения, сопряженного по частоте и направлению с измеряемым терагерцовым излучением.",Сигнальное излучение; Излучение с определенной частотой;
"Настоящее изобретение направлено на достижение технического результата, заключающегося в упрощении процесса детектирования электромагнитных волн терагерцового диапазона частот (0,3-10 ТГц) за счет обеспечения возможности проведения процесса при комнатных температурах при исключении криогенной техники и лазерных источников фемтосекундного излучения и повышении достоверности без привлечения дополнительных калиброванных источников или приемников терагерцового излучения для определения абсолютных значений измеряемой спектральной яркости.",Терагерцовый пучок; Изменение разворота луча; Распределение яркости по сечению терагерцового пучка;
"Рамановское рассеяние - неупругое рассеяние оптического излучения на молекулах вещества (твёрдого, жидкого или газообразного), сопровождающееся заметным изменением частоты излучения.",Оптическое излучение; Заметное изменение частоты излучения; Вещество; Изменение состава и концентрации вещества;
"Поток жидкости и поток газа, которые вводятся в форме листов, например, подвергаются противоточному контакту, и капли жидкости диспергируются в газовой фазе, так что может быть получено хорошее дисперсионное состояние.",Поток газа; Поток воздуха; Поток жидкости; Диспергированный газ;
"Сырье представляло собой тяжелую жидкость, а растворитель представлял собой легкую жидкость, и тяжелая жидкость была диспергированной фазой, и отношение растворителя (массовое отношение растворитель/сырье) выбирали 2/1, жидкостно-жидкостный противоточный контакт выполняли при температуре приблизительно 20°С при атмосферном давлении.",Поток легкой жидкости; Поток тяжелой жидкости; Капли жидкости;
"Выполняли операцию жидкостно-жидкостной экстракции, экстрагируя уксусную кислоту из водного раствора уксусной кислоты (далее называемого исходным материалом), имеющего концентрацию 29% масс. в каждом случае, смешанным растворителем (далее называемым растворителем) из этилацетата 80% об. + циклогексана 20% об.",Экстрагированная уксусная кислота;
"Диспергирование твердого тела - тонкое измельчение твёрдых тел, приводящее к образованию дисперсных систем: порошков, суспензий, эмульсий.",Твердое тело; Порошок; Суспензия; Эмульсия; Разрушение твердого тела;
Превращение накопленной в природе низкотемпературной тепловой энергии в тепло для нагрева происходит в трех контурах.,Низкотемпературная тепловая энергия; Электроэнергия;
"При использовании какого-либо из этих циклов рабочая жидкость в газообразной форме подается в устройство для преобразования энергии рабочей жидкости в механическую энергию, которым может быть как турбина, так и большое множество тепловых машин других типов.",Тепловая энергия; Каталитическое жидкое органическое вещество; Рабочая жидкость; Механическая энергия;
При рассмотрении преобразования тепловой энергии в механическую чрезвычайно важным термодинамическим свойством является энтальпия.,Тепловая энергия;
Отношение разности между идеальной энтальпией и реальной энтальпией к критической температуре рабочей жидкости называется остаточной энтальпией.,Каталитическое жидкое вещество; Рабочая жидкость;
"Критические температура и давление - это температура и давление, при которых мениск между жидкой и газообразной фазой вещества исчезает, и вещество образует единую, непрерывную жидкую фазу.",Каталитическое вещество;
"Заявитель теоретически обосновал, что значительное объемное расширение можно получить путем изменения коэффициента сжимаемости парообразной рабочей жидкости.",Рабочая жидкость; Увеличение удельной теплоемкости и удельной теплоты парообразования жидкости;
Поэтому после разряда концентрация кислоты внутри положительной пластины с высокой плотностью пасты будет уменьшаться до очень низкого значения и такое уменьшение будет повышать переход сульфата свинца обратно в диоксид свинца во время последующей перезарядки.,Изменение концентрации раствора электролита; Электрический заряд; Сернокислотный электролит на основе диоксида свинца;
"Если только часть одной аморфной полупроводниковой пленки избирательно кристаллизуется для образования кристаллического кремниевого ТПТ из кристаллической части и аморфного кремниевого ТПД из оставшейся аморфной части пленки, определенно можно улучшить характеристики кристаллического кремниевого ТПТ путем регулирования условий роста кристалла.",Кристаллизованная область; Тонкие пленки; Кристаллическая полупроводниковая пленка;
"Физический эффект относится к способу обнаружения инфракрасного излучения или к формированию инфракрасного изображения с применением болометрического устройства, способного поглощать падающее излучение, превращать его в тепло и передавать часть выделившегося тепла на чувствительный элемент, удельное сопротивление которого изменяется с температурой, причем указанное устройство представляет собой устройство, определенное ранее.",ЭЛМ излучение; Тепловая энергия; Чувствительный элемент; Увеличение температуры;
"Физический эффект относится к способу обнаружения инфракрасного излучения или к формированию инфракрасного изображения с применением болометрического устройства, способного поглощать падающее излучение, превращать его в тепло и передавать часть выделившегося тепла на чувствительный элемент, удельное сопротивление которого изменяется с температурой, причем указанное устройство представляет собой устройство, определенное ранее.",Тепловое излучение; Чувствительный элемент; Изменение удельного сопротивления в зависимости от температуры;
"Помимо ущерба в зоне повреждения, связанного с воздействием дугового разряда, токи повреждения (которые также называют «токи короткого замыкания») могут повредить оборудование, такое как воздушные линии, кабели, трансформаторы и коммутационную аппаратуру.",Электрический ток; Изменение силы тока повреждения;
"Для решения вышеозначенной задачи предложена лазерная система в установке задающего генератора/усилителя мощности (MOPA), которая содержит задающий генератор на импульсном диоде и накачиваемый активный оптоволоконный усилитель мощности после задающего генератора, и в которой, по существу, все каналы лазерного света являются оптическими волокнами.",Лазерное излучение; Увеличение коэффициента активной среды лазера; Активное волокно;
"Эффект обеспечивают нагревательный элемент, содержащий нагревательный блок, блок теплопереноса и датчик температуры, при этом нагревательный блок содержит первый состав, причем первый состав содержит состав на основе эпоксидной смолы или стекла, или состав, содержащий зольно-гелевый раствор, до 90% которого составляет проводящий порошок в виде однородной устойчивой дисперсии, при этом указанный проводящий порошок является одним из группы, состоящей из металлов, керамики, металлокерамики и полупроводников, а датчик температуры содержит второй состав, содержащий состав на основе эпоксидной смолы или стекла, причем второй состав содержит зольно-гелевый раствор, до 90% которого составляет проводящий порошок в виде равномерной устойчивой дисперсии, при этом указанный проводящий порошок является одним из группы, состоящей из металлов, керамики, металлокерамики и полупроводников; при этом нагревательный блок и датчик температуры выполнены как два отдельных блока, электрически изолированных друг от друга и механически удерживаемых блоком теплопереноса; при этом обеспечивают рабочее напряжение нагревательного блока в пределах от 30 В до 50 В.",Напряжение; Увеличение температуры; Состав на основе эпоксидной смолы или стекла; Состав на основе зольно-гелевого раствора;
"Для изготовления блока теплопереноса могут использоваться различные материалы, имеющие хорошие характеристики теплопередачи.",Температура; Изменение тепловой энергии; Материал на основе слюды;
"Детонация, как физико-химическое явление - это режим горения, в котором по веществу распространяется ударная волна, инициирующая химические реакции горения, в свою очередь, поддерживающие движение ударной волны за счёт выделяющегося в экзотермических реакциях тепла.",Выделение тепла;
"Используют канал с продольной осью, имеющей форму гладкой линии, и транспортирование ускоренных заряженных частиц по этому каналу осуществляют при соблюдении следующего соотношения, связывающего энергию E и заряд Q частиц пучка с электрической прочностью Uпр материала стенки и геометрическими параметрами канала – наименьшим радиусом R кривизны продольной оси, наименьшей толщиной d стенки и наибольшим расстоянием h между двумя точками внутренней поверхности канала, расположенными в поперечном сечении канала на одной и той же нормали к указанной поверхности: E/Q < R d Uпр/h Физические величины, входящие в соотношение, выражаются в единицах СИ, т.е. [E]=Дж, [Q]=K, [Uпр ]=В/м, [R]=[d]=[h]=м.",Частицы пучка с электрической прочностью;
"В первом случае он может быть нацелен в нужное место путем выбора необходимой формы канала, а во втором случае он может быть, например, ускорен и (тоже при соответствующем выборе формы канала) может быть источником электромагнитного излучения.",Электромагнитное излучение;
"Частицы исходного пучка вводят в канал направляющей структуры через его входное отверстие и выводят через выходное отверстие и осуществляют транспортирование между этими отверстиями при наличии электризации стенки указанного канала зарядом того же знака, что и частицы исходного пучка, при этом внутренняя поверхность указанной стенки имеет вид тела вращения вокруг прямолинейной продольной оси с сужением в направлении от входного отверстия к выходному.",Электризация стенок канала с энергией Е; Повышение коэффициента трансмиссии выходного пучка; Пучок заряженных ускоренных частиц;
"При этом транспортирование по этому каналу введенных в него ускоренных заряженных частиц осуществляют при соблюдении следующего соотношения, связывающего энергию E и заряд Q частиц пучка с электрической прочностью Uпр материала стенки и геометрическими параметрами канала – наименьшим радиусом R кривизны указанной дуги, радиусом r входного отверстия и наименьшей толщиной d стенки: E/Q < RdUпр/2r.",Изменение электрической прочности пучка; Электризация стенок канала с энергией Е; Пучок заряженных ускоренных частиц;
"Идентифицирующие элементы случайным образом рассредоточены внутри контрольной зоны и/или выполнены для излучения особого сигнала при внешнем, в частности оптоэлектронном, электромагнитном, электрическом, магнитном, термическом или акустическом воздействии.",Полосковый элемент из пластика; Излучение особого сигнала; Интенсивность сигнала; Оптоэлектронное воздействие; Электромагнитное воздействие;
"Коттрелловское затухание зависит от диффузии и может не существовать до тех пор, пока анализируемое вещество не будет полностью превращено в подлежащие измерению частицы и не будет достигнуто, главным образом, постоянное распределение концентрации этих подлежащих измерению частиц, занимающих емкость для образца, перед измерением тока.",Ток; Ток с кратковременным затуханием; Измеряемое вещество; Вещество превращено в частицы;
"Обжиг – высокотемпературная обработка материала в различной газовой среде с целью придания материалу необходимых физико-химических свойств, а также удаления из материала летучих примесей и перевода нужных компонентов в извлекаемую форму.",Температурное воздействие в окислительной атмосфере; Измельченный продукт обжига;
"Выщелачивание – это перевод в раствор, как правило водный, одного или нескольких компонентов твердого материала.",Вода и раствор серной кислоты;
Экстракция – это способ извлечения вещества из раствора или сухой смеси с помощью подходящего растворителя (экстрагента).,Осаждение твердого вещества из водной фазы;
"Кальцинация – это придание веществу новых свойств, путём нагревания до высоких температур (не достигая точки плавления) с целью удаления летучих примесей или для окисления и придания хрупкости (для облегчения измельчения).",Нагрев; Сушка;
